customer_id,product_id,order_id,order_date,sales,quantity,discount,profit,row_id
AG-10495,OFF-PA-10000673,CA-2017-132976,2017-10-13,11.65,2,0.200,4.08,40
IM-15070,OFF-BI-10003656,CA-2016-161389,2016-12-05,407.98,3,0.200,132.59,41
HP-14815,OFF-AP-10002311,US-2015-118983,2015-11-22,68.81,5,0.800,-123.86,42
HP-14815,OFF-BI-10000756,US-2015-118983,2015-11-22,2.54,3,0.800,-3.82,43
PK-19075,OFF-ST-10004186,CA-2014-105893,2014-11-11,665.88,6,0.000,13.32,44
AG-10270,OFF-ST-10000107,CA-2014-167164,2014-05-13,55.50,2,0.000,9.99,45
ZD-21925,OFF-AR-10003056,CA-2014-143336,2014-08-27,8.56,2,0.000,2.48,46
ZD-21925,TEC-PH-10001949,CA-2014-143336,2014-08-27,213.48,3,0.200,16.01,47
AG-10495,OFF-PA-10004470,CA-2017-132976,2017-10-13,NULL,NULL,NULL,0.20,48
ZD-21925,OFF-BI-10002215,CA-2014-143336,2014-08-27,22.72,4,0.200,7.38,49
KB-16585,OFF-AR-10000246,CA-2016-137330,2016-12-09,19.46,7,0.000,5.06,50
KB-16585,OFF-AP-10001492,CA-2016-137330,2016-12-09,60.34,7,0.000,15.69,51
SF-20065,FUR-CH-10002774,US-2017-156909,2017-07-16,71.37,2,0.300,-1.02,52
EB-13870,FUR-TA-10000577,CA-2015-106320,2015-09-25,1044.63,3,0.000,240.26,53
EH-13945,OFF-BI-10001634,CA-2016-121755,2016-01-16,11.65,2,0.200,4.22,54
AG-10495,OFF-ST-10000876,CA-2017-132976,2017-10-13,59.71,6,0.200,5.97,55
EH-13945,TEC-AC-10003027,CA-2016-121755,2016-01-16,90.57,3,0.000,11.77,56
AG-10495,OFF-LA-10002043,CA-2017-132976,2017-10-13,24.84,3,0.200,8.69,57
SC-20725,OFF-BI-10004967,US-2015-161991,2015-09-26,2.08,5,0.800,-3.43,58
SC-20725,TEC-PH-10001760,US-2015-161991,2015-09-26,1114.40,7,0.200,376.11,59
TB-21520,FUR-BO-10004834,US-2015-150630,2015-09-17,3083.43,7,0.500,-1665.05,60
TB-21520,OFF-BI-10000474,US-2015-150630,2015-09-17,9.62,2,0.700,-7.05,61
JO-15280,FUR-TA-10002903,CA-2015-130890,2015-11-02,1038.84,5,0.200,51.94,62
TB-21520,OFF-PA-10000474,CA-2015-130883,2015-09-26,141.76,5,0.200,47.84,63
PK-19075,OFF-ST-10000060,CA-2016-115756,2016-09-05,194.94,3,0.000,23.39,64
TB-21520,TEC-AC-10001956,CA-2015-130883,2015-09-26,239.80,5,0.200,47.96,65
TB-21520,OFF-PA-10004100,CA-2015-130883,2015-09-26,31.10,6,0.200,10.89,66
AH-10195,OFF-BI-10000778,CA-2016-112697,2016-12-18,254.06,7,0.700,-169.37,67
AH-10195,OFF-AP-10002684,CA-2016-112697,2016-12-18,194.53,2,0.200,24.32,68
AH-10195,OFF-SU-10000646,CA-2016-112697,2016-12-18,961.48,5,0.200,-204.31,69
NZ-18565,OFF-FA-10002983,CA-2016-110772,2016-11-20,19.10,7,0.200,6.68,70
TB-21520,FUR-FU-10004848,US-2015-150630,2015-09-17,124.20,3,0.200,15.52,71
TB-21520,OFF-EN-10001509,US-2015-150630,2015-09-17,3.26,2,0.200,1.10,72
NZ-18565,OFF-LA-10004689,CA-2016-110772,2016-11-20,18.50,8,0.200,6.24,73
TB-21520,OFF-AR-10004042,US-2015-150630,2015-09-17,86.30,6,0.200,9.71,74
TB-21520,OFF-BI-10001525,US-2015-150630,2015-09-17,NULL,NULL,NULL,0.70,75
TB-21520,OFF-AR-10001683,US-2015-150630,2015-09-17,15.76,2,0.200,3.55,76
NZ-18565,TEC-AC-10002001,CA-2016-110772,2016-11-20,255.98,2,0.200,54.40,77
NZ-18565,FUR-BO-10004709,CA-2016-110772,2016-11-20,86.97,3,0.500,-48.70,78
MA-17560,OFF-PA-10000249,CA-2017-107727,2017-10-19,29.47,3,0.200,9.95,79
RB-19465,OFF-BI-10002609,CA-2016-158568,2016-08-29,1.79,3,0.800,-3.04,80
GH-14485,TEC-PH-10004977,CA-2016-117590,2016-12-08,1097.54,7,0.200,123.47,81
KL-16555,FUR-FU-10004091,CA-2014-111451,2014-12-26,300.42,8,0.200,78.86,82
GH-14485,FUR-FU-10003664,CA-2016-117590,2016-12-08,190.92,5,0.600,-147.96,83
KL-16555,FUR-CH-10001891,CA-2014-111451,2014-12-26,230.35,3,0.200,20.16,84
SN-20710,OFF-EN-10002986,CA-2015-117415,2015-12-27,113.33,9,0.200,35.42,85
KL-16555,FUR-FU-10002918,CA-2014-111451,2014-12-26,218.35,3,0.200,-24.56,86
SN-20710,FUR-BO-10002545,CA-2015-117415,2015-12-27,532.40,3,0.320,-46.98,87
KL-16555,OFF-BI-10004593,CA-2014-111451,2014-12-26,78.60,5,0.700,-62.88,88
PK-19075,OFF-ST-10003058,CA-2016-115756,2016-09-05,70.95,3,0.000,20.58,89
SN-20710,FUR-CH-10004218,CA-2015-117415,2015-12-27,212.06,3,0.300,-15.15,90
KL-16555,OFF-FA-10004854,CA-2014-111451,2014-12-26,27.55,3,0.200,9.30,91
SN-20710,TEC-PH-10000486,CA-2015-117415,2015-12-27,371.17,4,0.200,41.76,92
PK-19075,OFF-PA-10002222,CA-2016-115756,2016-09-05,NULL,NULL,NULL,0.00,93
JD-15895,OFF-PA-10002105,CA-2016-142545,2016-10-28,32.40,5,0.000,15.55,94
LC-16930,TEC-PH-10004093,CA-2017-120999,2017-09-10,147.17,4,0.200,16.56,95
JD-15895,OFF-ST-10002756,CA-2016-142545,2016-10-28,NULL,NULL,NULL,0.00,96
JD-15895,OFF-PA-10004243,CA-2016-142545,2016-10-28,56.91,3,0.000,27.32,97
RA-19885,OFF-ST-10003479,CA-2016-101343,2016-07-17,77.88,2,0.000,3.89,98
GZ-14470,OFF-PA-10004040,CA-2016-129903,2016-12-01,23.92,4,0.000,11.72,99
JD-15895,FUR-FU-10001861,CA-2016-142545,2016-10-28,77.60,4,0.000,38.02,100
LC-16870,TEC-AC-10001552,US-2015-156867,2015-11-13,238.90,6,0.200,-26.88,101
JD-15895,OFF-BI-10002706,CA-2016-142545,2016-10-28,14.28,1,0.000,6.57,102
LC-16870,FUR-FU-10004006,US-2015-156867,2015-11-13,102.36,3,0.200,-3.84,103
JH-15910,FUR-TA-10002533,US-2017-152380,2017-11-19,219.08,3,0.500,-131.44,104
AS-10225,FUR-FU-10002671,CA-2015-144253,2015-05-04,26.80,2,0.000,12.86,105
LC-16870,OFF-BI-10002794,US-2015-156867,2015-11-13,NULL,NULL,NULL,3.00,106
PK-19075,FUR-CH-10002372,CA-2016-115756,2016-09-05,242.94,3,0.000,29.15,107
ES-14080,OFF-ST-10003282,CA-2017-139619,2017-09-19,95.62,2,0.200,9.56,108
KB-16600,OFF-AR-10003651,CA-2014-130960,2014-12-30,9.84,3,0.000,2.85,109
ON-18715,TEC-AC-10000171,CA-2016-118255,2016-03-11,45.98,2,0.000,19.77,110
ON-18715,OFF-BI-10003291,CA-2016-118255,2016-03-11,17.46,2,0.000,8.21,111
PO-18865,OFF-ST-10001713,CA-2014-146703,2014-10-20,211.96,4,0.000,8.48,112
JM-15250,TEC-AC-10003499,CA-2017-119004,2017-11-23,74.11,8,0.200,17.60,113
JM-15250,TEC-PH-10002844,CA-2017-119004,2017-11-23,27.99,1,0.200,2.10,114
CR-12625,OFF-BI-10001072,CA-2014-111003,2014-06-01,45.48,3,0.000,20.92,115
LH-16900,TEC-AC-10002167,CA-2016-169194,2016-06-20,45.00,3,0.000,4.95,116
LH-16900,TEC-PH-10003988,CA-2016-169194,2016-06-20,21.80,2,0.000,6.10,117
DP-13000,OFF-BI-10004410,CA-2015-115742,2015-04-18,38.22,6,0.000,17.96,118
DP-13000,OFF-LA-10002762,CA-2015-115742,2015-04-18,75.18,6,0.000,35.33,119
DP-13000,FUR-FU-10001706,CA-2015-115742,2015-04-18,6.16,2,0.000,2.96,120
CR-12625,OFF-AR-10002135,CA-2014-111003,2014-06-01,289.20,6,0.000,83.87,121
SH-20395,OFF-AR-10002804,CA-2017-126774,2017-04-15,4.89,1,0.000,2.00,122
DP-13000,FUR-CH-10003061,CA-2015-115742,2015-04-18,89.99,1,0.000,17.10,123
BP-11185,FUR-FU-10001918,CA-2016-142902,2016-09-12,15.14,4,0.200,3.59,124
JM-15265,OFF-FA-10000304,CA-2016-105816,2016-12-11,15.26,7,0.000,6.26,125
BP-11185,FUR-CH-10004086,CA-2016-142902,2016-09-12,466.77,2,0.200,52.51,126
JM-15265,TEC-PH-10002447,CA-2016-105816,2016-12-11,1029.95,5,0.000,298.69,127
TB-21055,OFF-ST-10000604,CA-2016-111682,2016-06-17,208.56,6,0.000,52.14,128
TB-21055,OFF-PA-10001569,CA-2016-111682,2016-06-17,32.40,5,0.000,15.55,129
PK-19075,OFF-LA-10001317,CA-2016-115756,2016-09-05,22.05,7,0.000,10.58,130
TB-21055,FUR-CH-10003968,CA-2016-111682,2016-06-17,319.41,5,0.100,7.10,131
JM-15250,OFF-AR-10000390,CA-2017-119004,2017-11-23,3.30,1,0.200,1.07,132
TB-21055,OFF-PA-10000587,CA-2016-111682,2016-06-17,14.56,2,0.000,6.99,133
TB-21055,TEC-AC-10002167,CA-2016-111682,2016-06-17,30.00,2,0.000,3.30,134
PA-19060,TEC-AC-10000844,CA-2015-129476,2015-10-15,339.96,5,0.200,67.99,135
CV-12805,FUR-FU-10001934,CA-2017-146780,2017-12-25,41.96,2,0.000,10.91,136
TB-21055,OFF-BI-10001460,CA-2016-111682,2016-06-17,48.48,4,0.200,16.36,137
TB-21595,FUR-FU-10000206,CA-2017-154214,2017-03-20,2.91,1,0.000,1.37,138
CL-12565,OFF-AR-10000380,CA-2016-128867,2016-11-03,75.96,2,0.000,22.79,139
TB-21055,OFF-AR-10001868,CA-2016-111682,2016-06-17,1.68,1,0.000,0.84,140
CL-12565,OFF-BI-10003981,CA-2016-128867,2016-11-03,27.24,6,0.000,13.35,141
RC-19960,OFF-FA-10000621,CA-2014-115259,2014-08-25,40.10,14,0.200,14.53,142
RC-19960,OFF-EN-10002600,CA-2014-115259,2014-08-25,4.72,2,0.200,1.65,143
RB-19360,OFF-AR-10000588,CA-2016-166674,2016-04-01,59.52,3,0.000,15.48,144
RC-19960,OFF-PA-10004965,CA-2014-115259,2014-08-25,23.98,3,0.200,7.49,145
BP-11185,FUR-FU-10001756,CA-2016-142902,2016-09-12,15.23,1,0.200,1.71,146
RC-19960,OFF-EN-10002504,CA-2014-115259,2014-08-25,130.46,6,0.200,44.03,147
BP-11185,OFF-LA-10000634,CA-2016-142902,2016-09-12,6.26,3,0.200,2.04,148
TS-21205,FUR-FU-10001588,CA-2014-120887,2014-09-27,87.54,3,0.000,37.64,149
RB-19360,OFF-ST-10001469,CA-2016-166674,2016-04-01,161.94,3,0.000,9.72,150
AG-10525,TEC-PH-10002398,CA-2014-167850,2014-08-09,178.38,2,0.200,22.30,151
AG-10525,OFF-PA-10001937,CA-2014-167850,2014-08-09,15.55,3,0.200,5.44,152
RB-19360,OFF-AR-10001953,CA-2016-166674,2016-04-01,263.88,6,0.000,71.25,153
SP-20860,OFF-AR-10003373,CA-2014-164259,2014-12-28,99.14,4,0.200,8.67,154
NM-18445,FUR-CH-10002602,CA-2014-164973,2014-11-04,135.88,1,0.100,24.16,155
NM-18445,TEC-MA-10002927,CA-2014-164973,2014-11-04,3991.98,2,0.000,1995.99,156
DK-13090,FUR-TA-10001768,CA-2015-110457,2015-03-02,787.53,3,0.000,165.38,157
NM-18445,TEC-PH-10004093,CA-2014-164973,2014-11-04,275.94,6,0.000,80.02,158
NM-18445,TEC-AC-10000892,CA-2014-164973,2014-11-04,360.00,4,0.000,129.60,159
GG-14650,OFF-BI-10003650,US-2015-136476,2015-04-05,157.79,1,0.700,-115.72,160
NM-18445,OFF-ST-10002974,CA-2014-164973,2014-11-04,43.57,1,0.000,13.07,161
FA-14230,OFF-FA-10000624,CA-2014-156601,2014-09-19,7.16,2,0.000,3.58,162
GK-14620,OFF-BI-10004593,CA-2016-162138,2016-04-23,251.52,6,0.200,81.74,163
SC-20725,FUR-FU-10002157,CA-2016-103730,2016-06-12,47.04,3,0.000,18.35,164
GK-14620,TEC-AC-10001908,CA-2016-162138,2016-04-23,99.99,1,0.000,35.00,165
DJ-13510,FUR-FU-10001967,CA-2017-153339,2017-11-03,15.99,1,0.200,1.00,166
RB-19360,OFF-AR-10003156,CA-2016-166674,2016-04-01,30.48,3,0.000,7.92,167
RB-19360,OFF-AR-10004974,CA-2016-166674,2016-04-01,9.84,3,0.000,2.85,168
PO-18850,TEC-PH-10003645,US-2016-141544,2016-08-30,290.90,3,0.400,-67.88,169
KM-16720,TEC-AC-10004633,CA-2015-135545,2015-11-24,13.98,2,0.000,6.15,170
PO-18850,OFF-ST-10000675,US-2016-141544,2016-08-30,54.22,2,0.200,3.39,171
KM-16720,OFF-BI-10001078,CA-2015-135545,2015-11-24,25.82,6,0.200,9.36,172
SC-20725,OFF-BI-10003910,CA-2016-103730,2016-06-12,30.84,4,0.000,13.88,173
RB-19360,TEC-PH-10002365,CA-2016-166674,2016-04-01,35.12,4,0.000,9.13,174
SC-20725,OFF-ST-10000777,CA-2016-103730,2016-06-12,226.56,6,0.000,63.44,175
SC-20725,OFF-EN-10002500,CA-2016-103730,2016-06-12,115.02,9,0.000,51.76,176
PO-18850,FUR-CH-10003312,US-2016-141544,2016-08-30,786.74,4,0.300,-258.50,177
PO-18850,OFF-LA-10001074,US-2016-141544,2016-08-30,100.24,10,0.200,33.83,178
KM-16720,OFF-PA-10003892,CA-2015-135545,2015-11-24,146.73,3,0.000,68.96,179
PO-18850,OFF-BI-10001524,US-2016-141544,2016-08-30,37.76,6,0.700,-27.69,180
KM-16720,FUR-FU-10000397,CA-2015-135545,2015-11-24,79.76,4,0.000,22.33,181
JL-15850,TEC-PH-10004614,US-2016-150147,2016-04-25,82.80,2,0.400,-20.70,182
PS-18970,FUR-CH-10001146,US-2015-164175,2015-04-30,213.12,5,0.300,-15.22,183
BS-11590,OFF-AR-10002671,CA-2014-106376,2014-12-05,1113.02,8,0.200,111.30,184
JL-15850,OFF-BI-10001153,US-2016-150147,2016-04-25,20.72,2,0.700,-13.82,185
BS-11590,TEC-PH-10002726,CA-2014-106376,2014-12-05,167.97,4,0.200,62.99,186
SC-20725,TEC-PH-10003875,CA-2016-103730,2016-06-12,68.04,7,0.000,19.73,187
AD-10180,FUR-CH-10004063,US-2014-152030,2014-12-26,600.56,3,0.300,-8.58,188
JL-15850,OFF-BI-10001982,US-2016-150147,2016-04-25,4.90,3,0.700,-3.43,189
KD-16270,OFF-PA-10000482,CA-2016-119823,2016-06-04,75.88,2,0.000,35.66,190
PF-19165,FUR-TA-10004534,US-2014-134614,2014-09-20,617.70,6,0.500,-407.68,191
DB-13615,OFF-BI-10001922,CA-2015-137946,2015-09-01,4.75,1,0.200,1.60,192
HM-14980,OFF-BI-10004654,CA-2016-106075,2016-09-18,4.62,1,0.200,1.73,193
DB-13615,TEC-CO-10001449,CA-2015-137946,2015-09-01,959.98,2,0.200,335.99,194
TB-21520,OFF-PA-10004675,CA-2017-114440,2017-09-14,19.05,3,0.000,8.76,195
TS-21610,OFF-BI-10003274,US-2017-107272,2017-11-05,2.39,2,0.700,-1.83,196
DB-13615,OFF-BI-10004140,CA-2015-137946,2015-09-01,14.37,4,0.200,4.49,197
JE-15745,FUR-CH-10000513,US-2015-134026,2015-04-26,831.94,8,0.200,-114.39,198
JE-15745,FUR-FU-10003708,US-2015-134026,2015-04-26,97.04,2,0.200,1.21,199
TS-21610,OFF-ST-10002974,US-2017-107272,2017-11-05,243.99,7,0.200,30.50,200
AC-10420,OFF-BI-10003314,CA-2014-129924,2014-07-12,7.71,2,0.200,2.80,201
JE-15745,OFF-ST-10004123,US-2015-134026,2015-04-26,72.78,1,0.200,-18.20,202
AC-10420,FUR-TA-10004575,CA-2014-129924,2014-07-12,698.35,3,0.200,-17.46,203
KB-16600,OFF-BI-10004182,US-2017-118038,2017-12-09,1.25,3,0.800,-1.93,204
LS-16975,FUR-CH-10001146,US-2016-125969,2016-11-06,81.42,2,0.200,-9.16,205
KL-16645,OFF-FA-10000490,CA-2015-128167,2015-06-22,NULL,NULL,NULL,0.00,206
KB-16600,FUR-FU-10000260,US-2017-118038,2017-12-09,NULL,NULL,NULL,0.60,207
JD-15895,OFF-AR-10000122,CA-2014-122336,2014-04-13,17.86,4,0.200,1.12,208
KB-16600,OFF-ST-10000615,US-2017-118038,2017-12-09,27.24,3,0.200,2.72,209
LS-16975,FUR-FU-10003773,US-2016-125969,2016-11-06,238.56,3,0.000,26.24,210
EB-13705,FUR-TA-10001539,CA-2017-147277,2017-10-20,284.36,2,0.400,-75.83,211
JE-15745,FUR-FU-10003194,US-2014-147606,2014-11-26,19.30,5,0.600,-14.48,212
JD-15895,OFF-BI-10003656,CA-2014-122336,2014-04-13,509.97,10,0.700,-407.98,213
SC-20770,OFF-AP-10002118,CA-2016-127208,2016-06-12,208.16,1,0.000,56.20,214
SC-20770,OFF-BI-10002309,CA-2016-127208,2016-06-12,16.74,3,0.000,8.04,215
DN-13690,OFF-AR-10002053,CA-2014-139451,2014-10-12,14.90,5,0.000,4.17,216
DN-13690,OFF-ST-10002370,CA-2014-139451,2014-10-12,21.39,1,0.000,6.20,217
JD-15895,OFF-FA-10002780,CA-2014-122336,2014-04-13,30.99,13,0.200,10.07,218
JC-16105,OFF-EN-10000927,CA-2015-149734,2015-09-03,200.98,7,0.200,62.81,219
JD-15895,TEC-PH-10000702,CA-2014-122336,2014-04-13,NULL,NULL,NULL,0.40,220
CS-12400,OFF-ST-10003656,US-2017-119662,2017-11-13,230.38,3,0.200,-48.95,221
CS-12130,OFF-ST-10000107,US-2015-120712,2015-12-20,88.80,4,0.200,-2.22,222
PO-18865,FUR-CH-10000863,CA-2017-140088,2017-05-28,301.96,2,0.000,33.22,223
DW-13585,TEC-PH-10002293,US-2017-164147,2017-02-02,59.97,5,0.400,-11.99,224
CC-12550,TEC-PH-10002293,CA-2017-169901,2017-06-15,47.98,3,0.200,4.80,225
TD-20995,OFF-AR-10004027,CA-2017-134306,2017-07-08,7.56,3,0.000,3.10,226
EB-13705,OFF-ST-10000142,CA-2017-147277,2017-10-20,665.41,2,0.200,66.54,227
KH-16630,TEC-AC-10001772,CA-2016-100153,2016-12-13,63.88,4,0.000,24.91,228
SC-20095,FUR-CH-10000225,US-2014-110674,2014-02-12,129.57,2,0.200,-24.29,229
TD-20995,OFF-PA-10000249,CA-2017-134306,2017-07-08,24.56,2,0.000,11.54,230
NF-18385,FUR-CH-10002331,US-2016-157945,2016-09-26,747.56,3,0.300,-96.11,231
TD-20995,OFF-AR-10001374,CA-2017-134306,2017-07-08,12.96,2,0.000,4.15,232
AB-10060,TEC-AC-10000290,CA-2016-129714,2016-09-01,6.79,1,0.000,2.31,233
NF-18385,OFF-EN-10001415,US-2016-157945,2016-09-26,8.93,2,0.200,3.35,234
JH-15985,OFF-AP-10002472,CA-2015-109638,2015-12-15,103.92,4,0.000,36.37,235
DW-13585,OFF-PA-10002377,US-2017-164147,2017-02-02,78.30,2,0.200,29.36,236
DW-13585,OFF-FA-10002780,US-2017-164147,2017-02-02,21.46,9,0.200,6.97,237
LC-16885,OFF-PA-10001804,CA-2016-145583,2016-10-13,20.04,3,0.000,9.62,238
LC-16885,OFF-PA-10001736,CA-2016-145583,2016-10-13,35.44,1,0.000,16.66,239
LC-16885,OFF-AR-10001149,CA-2016-145583,2016-10-13,11.52,4,0.000,3.46,240
LC-16885,OFF-FA-10002988,CA-2016-145583,2016-10-13,4.02,2,0.000,1.97,241
LC-16885,OFF-BI-10004781,CA-2016-145583,2016-10-13,76.18,3,0.200,26.66,242
JH-15985,TEC-AC-10004571,CA-2015-109638,2015-12-15,899.91,9,0.000,377.96,243
LC-16885,OFF-SU-10001218,CA-2016-145583,2016-10-13,65.88,6,0.000,18.45,244
JH-15985,OFF-BI-10001098,CA-2015-109638,2015-12-15,51.31,3,0.200,18.60,245
LC-16885,FUR-FU-10001706,CA-2016-145583,2016-10-13,43.12,14,0.000,20.70,246
TN-21040,FUR-FU-10000023,CA-2016-109869,2016-04-22,23.56,5,0.200,7.07,247
TN-21040,FUR-TA-10001889,CA-2016-109869,2016-04-22,1272.63,6,0.500,-814.48,248
TN-21040,OFF-BI-10000315,CA-2016-109869,2016-04-22,28.48,5,0.700,-20.89,249
TN-21040,OFF-SU-10003505,CA-2016-109869,2016-04-22,185.38,2,0.200,-34.76,250
JD-15895,FUR-FU-10004848,CA-2016-110366,2016-09-05,82.80,2,0.200,10.35,251
SH-19975,OFF-AR-10000940,CA-2017-106180,2017-09-18,8.82,3,0.000,2.38,252
SH-19975,OFF-EN-10004030,CA-2017-106180,2017-09-18,10.86,3,0.000,5.10,253
TN-21040,OFF-AP-10002578,CA-2016-109869,2016-04-22,78.27,2,0.200,5.87,254
PG-18895,TEC-AC-10001998,CA-2017-155558,2017-10-26,19.99,1,0.000,6.80,255
PG-18895,OFF-LA-10000134,CA-2017-155558,2017-10-26,6.16,2,0.000,2.96,256
SH-19975,OFF-PA-10004327,CA-2017-106180,2017-09-18,143.70,3,0.000,68.98,257
JS-15940,FUR-FU-10002918,US-2015-101399,2015-01-17,254.74,7,0.600,-312.06,258
SG-20080,OFF-AP-10001058,CA-2017-155376,2017-12-22,839.43,3,0.000,218.25,259
HA-14920,OFF-ST-10003656,CA-2015-110744,2015-09-07,671.93,7,0.000,20.16,260
DS-13180,FUR-BO-10002824,CA-2017-154907,2017-03-31,205.33,2,0.320,-36.24,261
MG-17680,FUR-FU-10000521,CA-2014-110072,2014-10-22,93.89,4,0.200,12.91,262
AB-10060,OFF-PA-10001970,CA-2016-129714,2016-09-01,24.56,2,0.000,11.54,263
JE-16165,TEC-PH-10000215,CA-2016-114489,2016-12-05,384.45,11,0.000,103.80,264
AB-10060,OFF-BI-10002160,CA-2016-129714,2016-09-01,3.05,1,0.200,1.07,265
AB-10060,OFF-PA-10001970,CA-2016-129714,2016-09-01,49.12,4,0.000,23.09,266
AB-10060,OFF-BI-10004995,CA-2016-129714,2016-09-01,4355.17,4,0.200,1415.43,267
JE-16165,TEC-PH-10001448,CA-2016-114489,2016-12-05,149.97,3,0.000,6.00,268
JE-16165,FUR-CH-10000454,CA-2016-114489,2016-12-05,1951.84,8,0.000,585.55,269
NG-18355,FUR-FU-10003849,CA-2017-117947,2017-08-18,40.48,2,0.000,15.79,270
NG-18355,FUR-FU-10000010,CA-2017-117947,2017-08-18,9.94,2,0.000,3.08,271
JL-15505,FUR-BO-10002268,CA-2016-138520,2016-04-08,388.70,6,0.200,-4.86,272
NG-18355,OFF-BI-10002824,CA-2017-117947,2017-08-18,107.42,9,0.200,33.57,273
JE-16165,OFF-BI-10002735,CA-2016-114489,2016-12-05,171.55,5,0.000,80.63,274
NG-18355,TEC-PH-10002538,CA-2017-117947,2017-08-18,37.91,1,0.000,10.99,275
JL-15505,OFF-EN-10001137,CA-2016-138520,2016-04-08,8.26,2,0.000,3.80,276
NG-18355,FUR-FU-10000521,CA-2017-117947,2017-08-18,88.02,3,0.000,27.29,277
CC-12670,OFF-BI-10002194,US-2016-100419,2016-12-16,4.79,3,0.800,-7.90,278
JL-15505,OFF-AR-10002399,CA-2016-138520,2016-04-08,17.04,4,0.000,6.99,279
CA-12265,OFF-BI-10002103,US-2014-111171,2014-12-26,8.69,5,0.800,-14.77,280
MH-17785,OFF-PA-10004071,CA-2015-154144,2015-12-20,55.48,1,0.000,26.63,281
JL-15505,OFF-PA-10002713,CA-2016-138520,2016-04-08,34.40,5,0.000,15.82,282
JP-15520,OFF-ST-10002743,CA-2014-144666,2014-11-09,340.92,3,0.000,3.41,283
